,carat,color,clarity,cut,authentication,price,natural,price_log,shape_cushion,shape_cushion_modified,shape_emerald,shape_heart,shape_marquise,shape_oval,shape_pear,shape_princess,shape_radiant,shape_radient,shape_round
0,0.3,30,10,20,50,270,20,5.598421958998375,0,0,0,0,0,0,0,0,0,0,1
1,0.3,60,10,10,50,270,20,5.598421958998375,0,0,0,0,0,0,0,0,0,0,1
2,0.3,30,20,40,50,280,20,5.634789603169249,0,0,0,0,0,0,0,0,0,0,1
3,0.3,50,20,40,50,280,20,5.634789603169249,0,0,0,0,0,0,0,0,0,0,1
4,0.41,30,10,10,50,280,20,5.634789603169249,0,0,0,0,0,0,0,0,0,0,1
5,0.32,10,30,40,50,280,20,5.634789603169249,0,0,0,0,0,0,0,0,0,0,1
6,0.3,60,10,10,50,280,20,5.634789603169249,0,0,0,0,0,0,0,0,0,0,1
7,0.3,10,30,40,50,280,20,5.634789603169249,0,0,0,0,0,0,0,0,0,0,1
8,0.33,30,10,40,50,280,20,5.634789603169249,0,0,0,0,0,0,0,0,0,0,1
9,0.3,70,10,20,50,280,20,5.634789603169249,0,0,0,0,0,0,0,0,0,0,1
10,0.34,40,20,10,50,280,20,5.634789603169249,0,0,0,0,0,0,0,0,0,0,1
11,0.34,30,10,40,50,280,20,5.634789603169249,0,0,0,0,0,0,0,0,0,0,1
12,0.35,30,10,20,50,280,20,5.634789603169249,0,0,0,0,0,0,0,0,0,0,1
13,0.3,30,30,40,50,290,20,5.66988092298052,0,0,0,0,0,0,0,0,0,0,1
14,0.3,40,10,40,50,290,20,5.66988092298052,0,0,0,0,0,0,0,0,0,0,1
15,0.3,30,30,20,50,290,20,5.66988092298052,0,0,0,0,0,0,0,0,0,0,1
16,0.36,30,20,40,50,290,20,5.66988092298052,0,0,0,0,0,0,0,0,0,0,1
17,0.33,30,40,20,50,290,20,5.66988092298052,0,0,0,0,0,0,0,0,0,0,1
18,0.3,90,10,20,50,290,20,5.66988092298052,0,0,0,0,0,0,0,0,0,0,1
19,0.3,30,30,20,50,290,20,5.66988092298052,0,0,0,0,0,0,0,0,0,0,1
20,0.32,50,20,10,50,290,20,5.66988092298052,0,0,0,0,0,0,0,0,0,0,1
21,0.3,30,30,20,50,290,20,5.66988092298052,0,0,0,0,0,0,0,0,0,0,1
22,0.24,40,70,40,50,290,20,5.66988092298052,0,0,0,0,0,0,0,0,0,0,1
23,0.3,30,30,20,50,290,20,5.66988092298052,0,0,0,0,0,0,0,0,0,0,1
24,0.3,30,30,20,50,290,20,5.66988092298052,0,0,0,0,0,0,0,0,0,0,1
25,0.3,10,30,40,50,290,20,5.66988092298052,0,0,0,0,0,0,0,0,0,0,1
26,0.3,90,10,10,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
27,0.3,30,20,20,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
28,0.3,20,20,40,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
29,0.33,40,20,20,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
30,0.33,10,30,40,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
31,0.3,10,30,40,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
32,0.3,10,30,40,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
33,0.3,80,10,40,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
34,0.3,10,70,40,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
35,0.33,40,10,40,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
36,0.3,50,20,40,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
37,0.31,60,10,20,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
38,0.3,20,30,40,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
39,0.3,30,20,20,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
40,0.3,30,20,20,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
41,0.35,30,30,10,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
42,0.34,20,30,40,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
43,0.3,10,30,40,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
44,0.3,10,30,40,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
45,0.3,10,30,40,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
46,0.3,80,10,10,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
47,0.3,40,20,10,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
48,0.33,40,10,20,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
49,0.3,30,20,40,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
50,0.3,30,20,40,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
51,0.3,10,30,40,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
52,0.32,10,30,40,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
53,0.3,10,30,40,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
54,0.3,80,10,10,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
55,0.3,30,30,20,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
56,0.33,50,20,40,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
57,0.3,30,30,20,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
58,0.3,10,30,40,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
59,0.3,70,20,20,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
60,0.3,30,20,40,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
61,0.32,20,30,40,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
62,0.33,50,30,40,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
63,0.31,30,30,20,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
64,0.31,20,70,40,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
65,0.3,30,20,20,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
66,0.31,20,60,40,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
67,0.36,10,30,40,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
68,0.32,10,30,40,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
69,0.3,10,30,40,50,300,20,5.703782474656201,0,0,0,0,0,0,0,0,0,0,1
70,0.3,50,20,10,50,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
71,0.3,50,30,20,50,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
72,0.3,30,30,40,50,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
73,0.31,30,60,40,50,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
74,0.31,30,30,20,50,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
75,0.34,20,60,40,50,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
76,0.31,30,20,40,50,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
77,0.3,30,30,20,50,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
78,0.3,20,40,40,50,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
79,0.3,30,50,10,50,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
80,0.31,10,40,40,50,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
81,0.3,30,30,40,50,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
82,0.31,10,30,40,50,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
83,0.34,20,30,40,50,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
84,0.34,20,30,40,50,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
85,0.22,80,70,20,30,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
86,0.31,10,40,40,50,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
87,0.3,30,50,20,50,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
88,0.3,30,20,40,50,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
89,0.33,20,30,40,50,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
90,0.33,20,40,40,50,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
91,0.32,30,20,40,50,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
92,0.3,30,30,40,50,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
93,0.3,30,40,20,50,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
94,0.3,10,60,40,50,310,20,5.736572297479192,0,0,0,0,0,0,0,0,0,0,1
