shape,carat,color,clarity,cut,authentication,ship date,price,natural
Round,0.33,M,SI1,Excellent,GIA,43972,310,Natural
Round,0.3,L,SI1,Excellent,GIA,43977,310,Natural
Round,0.3,J,SI2,Very Good,GIA,43976,320,Natural
Round,0.33,K,SI1,Excellent,GIA,43976,320,Natural
Round,0.3,H,I1,Excellent,GIA,43976,320,Natural
Round,0.3,F,SI2,Excellent,GIA,43976,320,Natural
Round,0.4,L,SI1,Excellent,GIA,43976,320,Natural
Round,0.31,E,SI2,Good,GIA,43972,320,Natural
Round,0.34,L,VS2,Excellent,GIA,43972,320,Natural
Round,0.31,J,SI2,Excellent,GIA,43976,320,Natural
Round,0.3,I,SI2,Good,GIA,43976,320,Natural
Round,0.3,J,SI2,Very Good,GIA,43976,320,Natural
Round,0.31,K,VS2,Very Good,GIA,43976,320,Natural
Round,0.31,M,SI1,Excellent,GIA,43976,320,Natural
Round,0.32,L,SI1,Excellent,GIA,43977,320,Natural
Round,0.3,I,SI2,Good,GIA,43976,320,Natural
Round,0.31,K,SI1,Excellent,GIA,43976,320,Natural
Round,0.3,I,SI2,Very Good,GIA,43976,320,Natural
Round,0.3,K,VS2,Very Good,GIA,43976,320,Natural
Round,0.3,G,I1,Very Good,GIA,43976,320,Natural
Round,0.33,K,SI2,Excellent,GIA,43976,320,Natural
Round,0.3,L,SI1,Excellent,GIA,43976,320,Natural
Round,0.3,E,SI2,Very Good,GIA,43972,320,Natural
Round,0.33,L,VS1,Excellent,GIA,43972,320,Natural
Round,0.3,M,VS2,Excellent,GIA,43972,320,Natural
Round,0.3,I,SI2,Excellent,GIA,43976,320,Natural
Round,0.3,J,SI2,Very Good,GIA,43976,320,Natural
Round,0.31,K,SI2,Excellent,GIA,43976,320,Natural
Round,0.32,L,VVS1,Excellent,GIA,43976,320,Natural
Round,0.3,G,I1,Excellent,GIA,43976,320,Natural
Round,0.32,E,I1,Good,GIA,43972,320,Natural
Round,0.34,F,I1,Very Good,GIA,43976,320,Natural
Round,0.3,I,SI2,Very Good,GIA,43976,320,Natural
Round,0.24,I,SI1,Excellent,GIA,43976,320,Natural
Round,0.3,I,SI2,Good,GIA,43976,320,Natural
Round,0.3,E,SI2,Very Good,GIA,43972,320,Natural
Round,0.31,E,SI2,Good,GIA,43972,320,Natural
Round,0.33,F,I1,Good,GIA,43977,320,Natural
Round,0.36,J,SI1,Very Good,GIA,43972,320,Natural
Round,0.3,I,SI2,Excellent,GIA,43976,330,Natural
